English,Portugues
i,eu
to,para
a,um
it,isto
that,que
t,t
of,de
is,é
in,em
what,o que
we,nós
me,meu
this,esse
for,para
my,meu
on,sobre
have,ter
your,seu
do,fazer
was,era
m,eu
not,não
be,ser
are,são
don,vestir
re,ré
know,saber
can,pode
with,com
but,mas
all,todos
just,apenas
there,lá
here,aqui
they,eles
like,como
ll,tudo
get,pegar
she,ela
go,ir
if,se
out,fora
about,sobre
at,no
now,agora
oh,oh
one,um
come,vir
well,bem
her,dela
how,como
yeah,sim
ve,eu
will,vai
got,pegou
want,querer
think,pensar
see,ver
did,fez
good,bom
who,Quem
why,por que
let,deixar
his,dele
yes,sim
when,quando
going,indo
time,tempo
an,um
okay,OK
back,voltar
look,olhar
us,nós
would,seria
them,eles
where,onde
were,eram
take,pegar
then,então
our,nosso
really,realmente
some,alguns
